Region	Cohorte	Total
Caribe	2015	5
Caribe	2014	4
Caribe	2013	8
Caribe	2012	4
Caribe	2011	12
Caribe	2010	11
Caribe	2009	11
Caribe	2008	7
Caribe	2007	3
Caribe	2006	3
Caribe	2005	5
Caribe	2004	4
Caribe	2003	3
Caribe	2002	2
Caribe	2001	2
Caribe	2000	3
Caribe	1999	2
Caribe	1998	1
Caribe	1997	2
Caribe	1996	2
Caribe	1992	1
Caribe	1991	4
Caribe	1988	1
Caribe	1986	1
Caribe	1984	2
Caribe	1983	3
Caribe	1981	2
Caribe	1980	1
Caribe	1979	1
Caribe	1976	1
