Region	Cohorte	Total
Cundi-boyacence	2015	1
Cundi-boyacence	2014	1
Cundi-boyacence	2013	2
Cundi-boyacence	2012	2
Cundi-boyacence	2011	1
Cundi-boyacence	2010	1
Cundi-boyacence	2009	2
Cundi-boyacence	2006	1
Cundi-boyacence	2003	1
Cundi-boyacence	1998	1
Cundi-boyacence	1989	1
Cundi-boyacence	1983	1
Cundi-boyacence	1965	1
