Region	Cohorte	Total
Valle-aburra	2015	3
Valle-aburra	2014	2
Valle-aburra	2013	7
Valle-aburra	2012	2
Valle-aburra	2011	4
Valle-aburra	2010	1
Valle-aburra	2000	1
